,country,year,population_int
0,France,1800,29000000
1,France,1801,29100000
2,France,1802,29200000
3,France,1803,29300000
4,France,1804,29400000
5,France,1805,29500000
6,France,1806,29700000
7,France,1807,29800000
8,France,1808,29900000
9,France,1809,30000000
10,France,1810,30100000
11,France,1811,30200000
12,France,1812,30300000
13,France,1813,30400000
14,France,1814,30600000
15,France,1815,30700000
16,France,1816,30800000
17,France,1817,30900000
18,France,1818,31000000
19,France,1819,31200000
20,France,1820,31300000
21,France,1821,31500000
22,France,1822,31700000
23,France,1823,31900000
24,France,1824,32100000
25,France,1825,32299999
26,France,1826,32500000
27,France,1827,32700000
28,France,1828,32900000
29,France,1829,33100000
30,France,1830,33299999
31,France,1831,33400000
32,France,1832,33600000
33,France,1833,33800000
34,France,1834,33900000
35,France,1835,34100000
36,France,1836,34300000
37,France,1837,34400000
38,France,1838,34600000
39,France,1839,34700000
40,France,1840,34900000
41,France,1841,35000000
42,France,1842,35200000
43,France,1843,35300000
44,France,1844,35500000
45,France,1845,35600000
46,France,1846,35800000
47,France,1847,35900000
48,France,1848,36100000
49,France,1849,36200000
50,France,1850,36300000
51,France,1851,36400000
52,France,1852,36500000
53,France,1853,36600000
54,France,1854,36700000
55,France,1855,36800000
56,France,1856,36900000
57,France,1857,36900000
58,France,1858,37000000
59,France,1859,37100000
60,France,1860,37200000
61,France,1861,37300000
62,France,1862,37400000
63,France,1863,37500000
64,France,1864,37600000
65,France,1865,37700000
66,France,1866,37800000
67,France,1867,37900000
68,France,1868,38000000
69,France,1869,38100000
70,France,1870,38200000
71,France,1871,38300000
72,France,1872,38300000
73,France,1873,38400000
74,France,1874,38400000
75,France,1875,38500000
76,France,1876,38500000
77,France,1877,38600000
78,France,1878,38600000
79,France,1879,38700000
80,France,1880,38700000
81,France,1881,38800000
82,France,1882,38900000
83,France,1883,39000000
84,France,1884,39000000
85,France,1885,39100000
86,France,1886,39200000
87,France,1887,39300000
88,France,1888,39400000
89,France,1889,39500000
90,France,1890,39500000
91,France,1891,39600000
92,France,1892,39600000
93,France,1893,39700000
94,France,1894,39700000
95,France,1895,39800000
96,France,1896,39800000
97,France,1897,39900000
98,France,1898,39900000
99,France,1899,40000000
100,France,1900,40000000
101,France,1901,40100000
102,France,1902,40100000
103,France,1903,40200000
104,France,1904,40200000
105,France,1905,40300000
106,France,1906,40300000
107,France,1907,40400000
108,France,1908,40400000
109,France,1909,40400000
110,France,1910,40300000
111,France,1911,40200000
112,France,1912,40000000
113,France,1913,39800000
114,France,1914,39600000
115,France,1915,39300000
116,France,1916,39100000
117,France,1917,38900000
118,France,1918,38700000
119,France,1919,38600000
120,France,1920,38500000
121,France,1921,38600000
122,France,1922,38700000
123,France,1923,39000000
124,France,1924,39300000
125,France,1925,39500000
126,France,1926,39800000
127,France,1927,40000000
128,France,1928,40300000
129,France,1929,40500000
130,France,1930,40600000
131,France,1931,40700000
132,France,1932,40700000
133,France,1933,40600000
134,France,1934,40600000
135,France,1935,40500000
136,France,1936,40400000
137,France,1937,40400000
138,France,1938,40300000
139,France,1939,40300000
140,France,1940,40300000
141,France,1941,40400000
142,France,1942,40500000
143,France,1943,40600000
144,France,1944,40800000
145,France,1945,40900000
146,France,1946,41100000
147,France,1947,41200000
148,France,1948,41400000
149,France,1949,41600000
150,France,1950,41800000
151,France,1951,42000000
152,France,1952,42300000
153,France,1953,42700000
154,France,1954,43000000
155,France,1955,43400000
156,France,1956,43800000
157,France,1957,44200000
158,France,1958,44700000
159,France,1959,45100000
160,France,1960,45700000
161,France,1961,46300000
162,France,1962,46900000
163,France,1963,47600000
164,France,1964,48200000
165,France,1965,48700000
166,France,1966,49200000
167,France,1967,49700000
168,France,1968,50000000
169,France,1969,50400000
170,France,1970,50800000
171,France,1971,51200000
172,France,1972,51600000
173,France,1973,52000000
174,France,1974,52400000
175,France,1975,52700000
176,France,1976,53000000
177,France,1977,53200000
178,France,1978,53400000
179,France,1979,53600000
180,France,1980,53900000
181,France,1981,54100000
182,France,1982,54400000
183,France,1983,54700000
184,France,1984,55000000
185,France,1985,55300000
186,France,1986,55500000
187,France,1987,55800000
188,France,1988,56100000
189,France,1989,56400000
190,France,1990,56700000
191,France,1991,56900000
192,France,1992,57100000
193,France,1993,57400000
194,France,1994,57600000
195,France,1995,57800000
196,France,1996,58000000
197,France,1997,58200000
198,France,1998,58400000
199,France,1999,58700000
200,France,2000,59000000
201,France,2001,59400000
202,France,2002,59800000
203,France,2003,60300000
204,France,2004,60700000
205,France,2005,61100000
206,France,2006,61500000
207,France,2007,61900000
208,France,2008,62200000
209,France,2009,62500000
210,France,2010,62900000
211,France,2011,63200000
212,France,2012,63600000
213,France,2013,63900000
214,France,2014,64200000
215,France,2015,64500000
216,France,2016,64700000
217,France,2017,64800000
218,France,2018,65000000
219,France,2019,65099999
220,France,2020,65300000
221,France,2021,65400000
222,France,2022,65599999
223,France,2023,65700000
224,France,2024,65900000
225,France,2025,66099999
226,France,2026,66200000
227,France,2027,66300000
228,France,2028,66500000
229,France,2029,66599999
230,France,2030,66700000
231,France,2031,66800000
232,France,2032,66900000
233,France,2033,67000000
234,France,2034,67099999
235,France,2035,67200000
236,France,2036,67300000
237,France,2037,67400000
238,France,2038,67500000
239,France,2039,67500000
240,France,2040,67600000
241,France,2041,67600000
242,France,2042,67600000
243,France,2043,67700000
244,France,2044,67700000
245,France,2045,67700000
246,France,2046,67700000
247,France,2047,67700000
248,France,2048,67600000
249,France,2049,67600000
250,France,2050,67600000
251,France,2051,67600000
252,France,2052,67500000
253,France,2053,67500000
254,France,2054,67400000
255,France,2055,67400000
256,France,2056,67300000
257,France,2057,67300000
258,France,2058,67200000
259,France,2059,67099999
260,France,2060,67099999
261,France,2061,67000000
262,France,2062,67000000
263,France,2063,66900000
264,France,2064,66900000
265,France,2065,66800000
266,France,2066,66800000
267,France,2067,66700000
268,France,2068,66700000
269,France,2069,66599999
270,France,2070,66599999
271,France,2071,66599999
272,France,2072,66500000
273,France,2073,66500000
274,France,2074,66500000
275,France,2075,66400000
276,France,2076,66400000
277,France,2077,66400000
278,France,2078,66400000
279,France,2079,66300000
280,France,2080,66300000
281,France,2081,66300000
282,France,2082,66200000
283,France,2083,66200000
284,France,2084,66200000
285,France,2085,66099999
286,France,2086,66099999
287,France,2087,66099999
288,France,2088,66000000
289,France,2089,66000000
290,France,2090,65900000
291,France,2091,65900000
292,France,2092,65900000
293,France,2093,65800000
294,France,2094,65800000
295,France,2095,65700000
296,France,2096,65700000
297,France,2097,65599999
298,France,2098,65599999
299,France,2099,65599999
300,France,2100,65500000
